Feature,Mean_SHAP
V16,3.468885e-05
id_12,3.349777e-05
V31,3.3318556e-05
V110,3.1562053e-05
V114,2.471733e-05
V195,2.3740728e-05
V112,2.3207042e-05
Addr2Frequency,1.964001e-05
V116,1.7001339e-05
V328,1.6228892e-05
V153,1.35181535e-05
V324,7.8690355e-06
MobileDevice,0.0
RareProductFlag,0.0
LongDistanceFlag,0.0
RareEmailFlag,0.0
V241,0.0
V325,0.0
V14,0.0
V240,0.0
V305,0.0
V297,0.0
V113,0.0
V117,0.0
V118,0.0
V122,0.0
V120,0.0
V119,0.0
V88,0.0
V104,0.0
M1,0.0
HighValueFlag,0.0
V107,0.0
V28,0.0
V27,0.0
V65,0.0
V68,0.0
V89,0.0
V41,0.0
V1,0.0
NormalizedAmount,0.0
